question,answer,category
抽出ルールを設定したい,抽出ルールは、対象を限定して行うセグメント配信や、仮想DB管理(フィルタ型)を発行する場合に使用します。以下の4つの条件を組み合わせて、データベースの抽出ルールを作成することができます。■ IDによる抽出　及び　抽出結果の件数指定■ 登録元指定■ 連携DBによる抽出■ フィールド毎の抽出ルール設定例）下記のようなリストから男性のみを抽出したい場合１．「データベースの抽出ルール設定 」をクリックします。２．制限を設定したいDB名を選び、[選択]をクリックします。３．データベースの抽出ルール名を入力し、フィールド毎の抽出ルール設定の性別フィールドの[編集]ボタンをクリックします。４．抽出ルール名を入力し、「男性のみ」抽出されるよう条件を設定します。 今回のみの条件の場合は[新規登録]。今後も使用する条件であれば[雛形に登録]をクリックします。５．フィールド毎の抽出ルール設定にて、４．で条件設定した抽出ルール名を選択します。６．選択したら、[新規作成]ボタンをクリックします。,2
モバイルドメインリストの最新版が欲しい ,モバイルドメインリストの最新版は、「モバイルドメインに分類されるドメインリスト」をご覧ください。,4
契約レコード数変更手順,管理画面にログインできる環境であれば、リアルタイムにご契約レコード数の変更が可能です。下記にレコード数変更方法を記載いたしますので、手順に沿って変更をお願いいたします。?１．メニューをクリックします。ログイン後、［管理］にある「レコード数変更」をクリックします。?２．件数を変更します。希望のレコード数記入欄に、変更したいレコード数を入力し、［変更同意画面へ進む］をクリックします。 ?３．内容を確認し、同意します。変更件数と注意事項を確認し、［変更を完了する］をクリックします。※「上記内容に同意する」にチェックを入れないと、［変更を完了する］は押せません。?レコード数変更の履歴も同時に確認することが可能です。※レコード数を増加変更された場合は、管理画面から増加レコードをデータベースに割り当ててください。?レコード数変更が完了すると、担当者様宛に変更完了のメールが自動送信されます。 ・マルチアカウント、個人情報閲覧不可IDでログインしている場合は、レコード数を変更できません。・月次レコード利用料は、ご利用いただいた月の最大レコード数が適用されます。,6
配信エラーフィールドには何を設定すればいいですか？,弊社では、下図の配信エラーフィールドの設定を推奨しております。配信エラーフィールドで選択できるフィールドタイプは、「配信エラーカウント」もしくは「配信エラー」です。「配信エラーカウント」と「配信エラー」の違いはこちらを参照してください。図の様に設定すると、「配信エラーカウント」フィールドに格納されている過去の恒久的なエラー回数が１回以上の場合、次回送っても再度エラーになる可能性が非常に高いため、今回の配信対象から自動的に除外されます。また、今回の配信において恒久的なエラーを記録した場合は、「配信エラーカウント」フィールドに１回分自動反映されます。※フィールドタイプが「配信エラー」の場合、回数は考慮されません。■配信エラーフィールドを設定するメリット一般的に、メール配信においてエラー率の高いリストで一斉配信を行うと、受信側でスパムメールと判定されてしまうケースがあります。これを回避するためには、なるべくエラー率が低いリストで配信する必要があり、配信エラーフィールドの設定をすることでそれを自動的に制御できます。,4
通知メール受信設定では何ができますか？,通知メール受信設定では「ご利用管理者」と「連絡先1」、「連絡先2」、「担当者ID」ごとに、スパイラルから配信される通知メールの受信可否設定ができます。担当者IDを複数発行している場合は、それぞれの担当者IDでログインし、通知メールの受信可否設定を行ってください。受信可否設定ができる通知メール一覧通知メール受信設定をご確認ください。通知メールの宛先について下記の通知先メールアドレス欄に表示されているメールアドレスは、ご契約時のスパイラル利用申込書またはアカウント情報変更やID情報追加・削除のフォームから登録されるメールアドレスとなります。各タブは以下に該当します。スパイラル利用申込書アカウント情報変更フォームID情報追加・削除フォーム,4
配信設定がしたい,データベースに登録されているメールアドレスに対して一斉配信を行う場合、メールグループ内のEXPRESS2で設定できます。 配信対象となるデータベースとメール形式を選択の上「誰に」「何を」「いつ配信するのか」の３つの手順で一斉配信が行えます。詳細内容は「DB内のメールアドレスにメールを配信したい (PDF/7.4MB)」をご覧ください。,4
請求先を変更したい,ご登録いただいている請求のご担当者様の情報を変更します。請求先変更フォームから併せてアカウント情報の変更依頼も可能です。（１）管理画面内[管理]にある、[契約情報変更]から「請求先変更依頼」をクリック。（２）現在の情報、変更情報などを入力。　　 アカウント情報も変更したい場合は「変更する」にチェックを入れてください。ご依頼をいただき弊社で変更作業を行います(１営業日いただいております)。終了後、ご担当者様にお知らせいたします。【注意点】ご依頼は現在登録している ご利用管理者様またはご請求先のご担当者よりご依頼ください。ご登録内容確認のためにご依頼受付後、弊社より連絡させていただく場合がございます。ご入力内容に誤りがある場合、内容確認のためご希望日以降の完了となる可能性がございます。,6
オプトイン記録保管サービスの料金が知りたい,オプトイン記録保存サービスのお申し込みには料金はかかりません。ログ(記録)が必要になった場合は、弊社までお問い合わせ下さい。その際には別途料金がかかります,4
名刺登録の対象スキャナが知りたい,オプション機能「名刺登録」における対象スキャナは以下の通りです。名刺登録の対象スキャナが知りたい。,2
演算トリガの式の長さに上限はありますか？,ありません。,2
作成したフォームを削除したい,作成した登録フォームの削除は、「フォーム」にて可能です。画面上「Web」＞「フォーム」へ進み、削除したいフォームの「編集」（歯車マーク）をクリックすると「削除」メニューが表示されます。↓「削除」をクリックすると確認用メッセージが表示されます。「ＯＫ」すると削除が完了します。あるいは、削除したいフォームのフォーム名をクリック後、トップページにある「削除」ボタンをからも削除が可能です。注意一度削除したフォームは復元することが出来ません。ご注意下さい。関連FAQ稼働中のフォームのフィールド（質問項目）を削除したい,3
「結果がすぐ見える投票」で「途中経過を見る」と、投票画面の横幅が伸びてしまう,「結果がすぐ見える投票」は、200px以下に横幅を設定出来ない仕様になっています。スタイルシートなどを用いて横幅を200px以下に指定しますと、正しく動作しない場合があります。,3
スパイラルCORPASの診断結果の見方がわかりません,「スパイラルCORPAS」の診断結果について解説されているマニュアルは、下記よりダウンロードいただけます。スパイラルCORPAS 診断結果の読み解きマニュアル (PDFファイル　2.51MB),1
